,UNDR01_2HCb,UNDR01_2MCb,UNDR03_102,UNDR03_117,UNDR03_118,UNDR03_119,UNDR03_121,UNDR03_122,UNDR03_123,UNDR03_1HAb,UNDR03_1HBb,UNDR03_1MAa,UNDR03_1MCa,UNDR03_2,UNDR03_22,UNDR03_23,UNDR03_24,UNDR03_25,UNDR03_26,UNDR03_27,UNDR03_2HBb,UNDR03_2MAa,UNDR03_2MBb,UNDR03_3,UNDR03_4,UNDR03_5,UNDR03_6,UNDR03_7,UNDR03_74,UNDR03_75,UNDR03_76,UNDR03_78,UNDR03_79,UNDR03_80,merge_NG-28520_B06,merge_NG-28520_B11,merge_NG-28520_B16,merge_NG-28520_B22,merge_NG-28520_B28,merge_NG-28520_B34,merge_NG-28520_B39,merge_NG-28520_B44,merge_NG-28520_B50,merge_NG-28520_B56,merge_NG-28520_B62,merge_NG-28520_B67,merge_NG-28520_B72,merge_NG-28520_B78,merge_NG-28520_B84,merge_NG-28520_B85,merge_NG-28520_B88,merge_NG-28520_B91,merge_NG-28520_B94,merge_NG-28520_B95,merge_NG-28520_B96
UNDR03_1HBb-bin.37,40002,10729,6,18,18,6,5,10,8,72088,190691,976,1239,9,6,1,0,4,6,4,48250,29881,7307,16,17,123,46,40,10,62,36,2030,1302,2421,16,19,15,8,29,14,13,10,10,29,14,17,22,19,31,26,26,29,16,26,10
UNDR03_1HBb-bin.42,47913,2042,42,43,35,10,54,55,48,22167,110652,6935,10974,25,34,67,20,111,160,154,76643,2711,2849,63,30,14659,3880,3383,31,24,22,516,371,368,30,45,72,19,69,32,39,63,29,81,55,69,66,61,63,57,50,43,22,43,18
UNDR03_1HBb-bin.44,3428,3557,1,0,3,0,0,1,1,34778,134058,665,965,24,0,7,13,3,16,3,6094,14639,1455,18,28,26832,10548,11130,16,28,16,137,147,225,0,0,3,3,4,4,2,3,1,3,4,3,1,4,2,1,2,4,0,1,3
UNDR03_1HBb-bin.49,2305,210,13,3,6,3,1,11,3,11950,41503,172,166,5,5,9,10,9,42,63,3363,464,202,6,17,518,109,179,9,6,4,16,8,11,11,10,7,5,17,13,14,19,19,10,10,11,13,18,9,7,9,7,2,3,10
UNDR03_1HBb-bin.5,2943,2085,4,2,4,0,1,0,2,26187,113333,12235,16432,7,20,20,39,1,21,28,7098,7041,1295,14,34,892,369,473,11,10,10,44,26,34,4,2,1,2,1,1,1,4,2,0,2,0,4,1,4,2,2,1,0,1,0
UNDR03_1HBb-bin.54,31919,5121,41,2,2,0,11,2,7,27467,93790,844,1298,86,5,357,106,0,524,2029,38744,14240,3456,177,82,24699,7912,10001,1675,1139,2941,11763,10381,12983,3,5,3,2,7,10,5,6,7,6,3,5,5,6,2,3,8,6,3,7,3
UNDR03_1HBb-bin.56,56483,3545,10,7,20,4,23,9,11,90077,303006,975,1908,105,410,216,565,618,2129,852,64030,5668,5252,240,93,14402,3123,3377,15,23,22,201,193,113,10,18,13,17,21,8,18,16,16,23,24,22,16,19,23,19,20,18,12,15,7
UNDR03_1HBb-bin.6,16305,9042,26,48,30,7,66,71,55,175947,610062,773,1655,103,41,51,272,57,341,31,17907,29245,5152,240,459,104235,44226,61532,133,109,148,1653,1249,913,29,19,19,22,28,19,23,37,32,20,29,32,26,35,29,44,41,30,13,17,16
UNDR03_1HBb-bin.60,241,367,5,2,7,1,5,4,2,34473,153577,7166,7025,18,35,1,14,5,126,115,629,1312,205,40,61,255,266,339,6,2,4,6,3,6,3,24,21,27,39,3,30,25,37,34,4,16,10,32,33,7,2,9,0,11,10
UNDR03_1HBb-bin.61,120,28,0,0,0,0,0,0,0,4498,18243,66,89,2,0,0,0,0,0,0,178,71,13,1,0,168,60,85,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,3
UNDR03_1HBb-bin.63,15985,1588,8,6,9,2,3,1,4,11110,51516,225,389,2,0,7,14,29,24,68,19855,2281,2169,16,6,7835,2100,1583,9,5,12,34,44,26,8,8,3,7,12,4,5,11,5,19,13,9,8,7,6,15,20,14,10,10,4
UNDR03_1HBb-bin.76,18909,7093,32,44,31,10,58,43,35,23764,116621,344,564,28,8,15,60,18,113,7,21924,22040,4083,87,83,55287,15581,18888,161,160,196,3784,3002,3146,30,10,18,23,21,26,25,48,21,20,41,25,24,23,16,44,21,23,11,19,9
UNDR03_1HBb-bin.78,5392,3536,1,1,1,0,4,3,0,66585,214068,641,1004,365,0,0,0,1,5,4,10993,12034,1610,355,2316,87015,34834,38501,232,191,156,9470,13353,12664,1,1,4,1,7,2,0,1,1,1,2,2,1,0,3,3,5,0,2,2,2
UNDR03_1HBb-bin.79,11798,7881,5,11,10,1,4,2,5,23846,121546,994,1349,14,4,4,12,1,32,55,12783,16595,8684,41,24,40570,11685,14531,30,24,43,229,231,242,17,6,12,14,22,6,2,6,8,20,11,10,13,19,11,20,23,19,18,32,10
UNDR03_1HBb-bin.85,3065,2644,171,20,16,2,4,10,7,18596,72903,10360,15126,4915,0,0,3,0,6,2,6031,11447,1211,10358,8738,18282,8797,11271,4473,5905,6822,6509,5408,5305,3,6,1,3,4,8,6,9,2,2,6,7,3,4,5,1,5,1,0,8,1
UNDR03_1HBb-bin.91,8384,4420,5,3,2,2,4,3,0,19628,74164,364,575,60,0,4,8,15,78,249,9211,11321,4264,164,56,12412,4804,5576,49,45,71,268,319,393,1,3,4,2,5,4,3,0,3,4,3,5,6,8,1,2,7,6,0,11,4
UNDR03_1HBb-bin.92,5526,6427,10,29,17,4,38,65,49,80232,328555,1223,1942,23,16,26,98,17,107,13,8413,23785,3372,43,84,51455,20711,21151,50,56,29,1984,1049,2093,27,18,23,14,29,22,24,39,30,32,34,33,24,25,24,41,40,24,5,13,7
UNDR03_1HBb-bin.97,2598,315,3,3,5,0,5,3,0,18172,62844,1114,1687,0,0,1,4,0,13,14,3955,669,300,0,0,30,19,10,0,2,4,3,0,2,9,5,6,4,7,8,7,5,5,6,4,3,6,9,3,3,1,3,2,2,5
UNDR03_1HBb-bin.98,5376,7008,85,21,11,10,7,10,10,29152,77300,78,168,0,0,0,2,0,1,0,5807,23314,3256,8,7,24623,9768,13027,130,101,115,1914,1425,1931,1,0,0,0,2,1,1,0,1,6,5,2,3,3,1,11,6,7,6,1,4
UNDR03_1MAa-bin.0,43316,22388,19516,13841,13808,20314,11896,12585,13779,41677,30430,336627,273438,8974,11620,12612,27810,11144,27994,25179,129826,20245,53242,22734,12900,33967,11575,16181,12693,14013,15272,17328,13681,13070,27,19,30,18,46,19,19,35,24,59,27,38,49,54,52,39,66,45,23,134,39
UNDR03_1MAa-bin.11,705294,992692,432,56,62,35,58,44,57,12404,67432,6108243,8746144,31229,11,18,34,13,71,51,888017,743610,1828127,61314,31386,17256,6656,8527,5254,5418,6739,5033,4554,4431,87,53,42,41,70,65,58,33,46,88,102,104,75,93,88,87,79,58,52,753,60
UNDR03_1MAa-bin.16,70315,234145,95,35,33,14,35,29,19,7518,27532,487195,793636,912,20,3,23,6,40,33,87127,349470,319055,2195,1219,2663,854,1073,1623,1497,1907,2638,2168,2398,67,39,55,41,117,46,59,26,58,95,70,87,95,107,90,94,96,77,50,383,52
UNDR03_1MAa-bin.20,25221,48585,38,20,28,5,21,25,25,2120,15211,389376,646271,1982,23,37,55,19,59,96,41444,38099,84771,4551,2122,931,323,400,121,163,160,161,129,105,23,21,19,13,20,10,5,15,14,19,11,18,20,33,15,20,22,19,8,39,19
UNDR03_1MAa-bin.27,2359,2543,6,4,4,3,2,6,6,405,2118,147363,239684,1364,7,4,9,4,7,12,5182,2942,5163,3131,1620,1067,391,441,16,22,15,37,17,35,12,20,15,12,18,7,110,13,18,13,13,101,59,37,7,12,23,12,9,33,27
UNDR03_1MAa-bin.28,59130,51610,16,5,5,34,13,3,13,1420,8246,252196,292375,1901,2,10,14,4,12,8,83194,29190,91488,4808,1867,1668,595,751,256,270,307,289,258,350,13,7,5,9,13,4,6,7,8,8,5,6,24,16,13,16,14,11,6,31,45
UNDR03_1MAa-bin.35,826122,1206261,923,1584,1148,246,550,657,566,4992,30365,704280,1133730,2392,429,44,64,235,145,200,1393753,943777,2607274,5302,4109,18965,4691,4038,1166,1688,2186,2460,1700,1529,2770,2051,3013,3309,4931,1920,1983,1948,1676,7011,4480,5733,4525,5240,5427,7086,5240,4430,775,3072,1258
UNDR03_1MAa-bin.5,433,544,0,1,0,0,1,1,2,22,107,152565,230976,54,0,0,0,0,1,1,698,1084,545,169,99,18,12,9,1,7,5,13,20,20,1,1,1,1,4,2,2,0,3,3,1,2,0,5,4,1,3,2,2,1,0
UNDR03_1MAa-bin.6,30849,18816,17476,10532,11556,1479,10235,11242,11453,4994,23602,274932,255036,7406,9471,11040,23554,9886,22575,22781,97316,17748,44536,19210,11507,26934,10963,16555,11809,11509,11739,14493,11269,11167,27,20,31,40,48,22,19,23,33,48,25,51,58,76,47,47,54,42,31,81,63
UNDR03_1MAa-bin.8,1744,4507,9,2,2,316,20,28,18,1929,6884,155913,198790,2425,33,10,3,1,93,8,4904,10110,4123,3860,1764,3527,1281,1992,31,48,39,134,63,67,1,56,140,149,154,104,86,132,178,178,70,30,82,166,165,7,8,12,23,85,46
UNDR03_1MCa-bin.1,218,226,0,2,0,2,1,4,1,43,114,17699,308213,10,2,0,4,1,8,12,501,402,562,22,19,63,13,5,8,4,6,6,5,3,10,4,3,4,18,25,12,10,2,5,14,17,13,20,8,8,8,3,6,155,10
UNDR03_1MCa-bin.10,10492,6022,2579,1822,1925,2756,1600,1729,1836,5786,4173,114760,144555,1443,1504,1629,3855,1565,3763,3362,25901,5498,13543,3588,2080,4733,1583,2156,1725,2016,2092,2431,1905,1809,14,12,17,11,19,9,20,18,14,28,14,25,20,31,21,18,35,36,18,42,15
UNDR03_1MCa-bin.11,51365,67609,17,14,3,99,9,17,6,1930,14411,724117,1118182,989,8,13,14,7,16,11,77894,129543,106592,542,825,4038,1513,1249,61,158,139,266,168,135,15,13,13,9,21,5,5,9,10,29,20,11,21,23,21,20,33,31,11,29,15
UNDR03_1MCa-bin.12,91,270,1781,2161,2483,602,1874,2051,1905,78,248,189633,385576,316,118,225,340,89,213,44,240,781,241,584,320,188,48,104,710,722,376,1582,1259,841,224,174,463,461,492,234,304,627,531,490,502,196,358,516,563,490,339,193,44,280,190
UNDR03_1MCa-bin.13,2539,3140,3,12,9,0,12,5,8,13,31,48185,89180,124,10,2,13,1,20,3,4326,6537,3487,275,115,38,7,10,14,18,29,36,30,21,8,7,5,4,13,9,8,11,17,12,6,7,10,3,11,12,12,4,2,3,8
UNDR03_1MCa-bin.14,41189,43088,14,8,4,2,7,4,3,181,1016,144253,214456,244,1,1,8,1,10,3,64475,42692,83889,507,281,226,56,64,100,100,103,74,71,72,16,6,9,10,22,7,8,12,13,21,17,22,21,22,16,20,24,21,11,63,13
UNDR03_1MCa-bin.19,562,499,15,12,13,1,9,8,11,13,52,8151,77266,21,10,6,14,7,24,17,1688,660,1368,36,28,52,17,9,12,4,13,15,10,8,11,8,6,7,10,7,11,9,7,13,14,10,12,10,16,16,16,10,9,14,0
UNDR03_1MCa-bin.20,69371,86227,7,0,5,3,19,7,2,4376,10986,99952,145388,721,2,1,2,0,12,11,93734,123746,130287,2384,2138,582,167,172,86,147,125,126,112,105,15,9,13,4,22,9,52,1081,138,26,13,149,410,353,46,13,18,9,8,772,294
UNDR03_1MCa-bin.24,3664,2565,3,9,7,3,4,2,2,46,169,94218,217391,75,4,5,10,3,10,15,6879,3615,5839,239,116,138,24,9,12,20,23,34,13,14,973,100,142,86,69,1320,1108,326,125,353,881,1414,638,343,179,29,31,10,115,20223,660
UNDR03_1MCa-bin.26,2395,4170,1,0,0,1,4,2,2,211,703,89023,138799,235,1,2,5,0,2,3,5241,6031,7061,563,225,32,5,8,4,8,5,13,8,2,7,3,7,6,5,12,26,712,118,18,8,92,279,207,55,13,21,16,8,565,176
UNDR03_1MCa-bin.27,1583,23291,105,148,165,36,123,80,80,166,954,436922,601466,175,56,57,119,35,159,183,3758,97752,8219,256,192,477,162,153,102,143,118,165,112,115,58,35,46,45,39,49,46,70,44,35,82,50,43,48,34,77,56,35,15,48,32
UNDR03_1MCa-bin.29,68,145160,1,1,1,0,5,8,5,104,389,174261,227435,177,1,0,2,0,3,2,134,529842,35121,724,310,17,9,14,65,76,84,10,6,12,2,0,1,4,1,3,4,0,2,3,1,3,4,1,4,4,0,2,2,2,1
UNDR03_1MCa-bin.30,175,242,3,2,5,2,2,1,1,29,117,283967,574006,64,0,0,4,0,1,2,456,416,506,133,37,52,14,5,5,4,12,9,11,7,5,0,5,4,10,8,7,6,3,13,10,5,9,8,1,4,10,5,3,31,5
UNDR03_1MCa-bin.33,155,365,8,6,11,4,8,4,2,1012,5075,163905,212323,2259,0,2,6,0,8,11,544,290,394,5335,2389,3069,1227,1457,5,16,9,19,10,17,8,4,5,2,9,11,9,13,15,10,8,4,4,9,8,7,12,8,5,13,7
UNDR03_1MCa-bin.34,211,237,2,0,1,2,8,9,6,306,1555,339824,442948,181,0,0,2,1,3,8,630,382,433,529,302,183,66,74,7,12,6,5,3,5,9,8,3,3,12,3,5,6,13,11,8,12,12,5,11,8,14,10,2,10,5
UNDR03_1MCa-bin.35,454,396,0,1,1,0,0,0,0,78,484,21768,34915,34,0,0,1,0,2,0,1179,731,505,58,15,10,5,7,0,3,3,3,0,1,3,0,0,1,1,2,1,1,1,1,1,4,1,0,1,3,2,3,1,0,1
UNDR03_1MCa-bin.37,7668,17645,3,6,8,0,4,2,0,61,332,36846,64376,276,0,0,0,0,5,0,16766,13746,38135,684,260,220,48,53,22,37,41,63,31,19,28,13,26,14,36,8,8,7,18,46,26,32,51,46,44,48,30,34,19,27,21
UNDR03_1MCa-bin.38,11988,17126,39,45,35,14,30,52,33,423,2516,76294,150337,537,41,27,77,36,92,94,22881,13749,36119,1200,621,595,203,234,133,133,160,184,148,164,106,16,26,12,39,17,8,15,18,29,35,37,35,42,29,38,48,26,18,55,28
UNDR03_1MCa-bin.39,72,49435,2,2,3,0,4,1,1,49,238,116399,162857,195,0,0,1,0,2,1,177,197538,12126,296,104,18,10,4,56,69,83,4,1,2,4,0,0,0,2,3,3,1,1,3,2,1,2,1,6,1,4,2,1,2,5
UNDR03_1MCa-bin.40,10916,24691,15,1,3,2,5,2,0,2719,13209,312811,436632,2546,0,0,0,4,3,9,29978,30676,27554,7133,3481,5973,2803,3371,173,246,279,320,245,187,6,2,4,0,2,6,1,7,8,4,5,1,2,4,4,4,4,3,0,0,4
UNDR03_1MCa-bin.42,734,1180,0,0,3,1,4,2,1,30,100,28655,157860,19,0,0,6,0,6,6,1384,2736,1836,33,17,23,5,2,3,10,3,5,8,8,20,3,8,5,13,19,13,14,8,13,13,21,24,14,12,7,10,9,9,205,7
UNDR03_1MCa-bin.46,3864,5268,6,7,5,3,2,1,3,207,1120,37993,64074,97,1,1,3,1,7,4,7219,5749,11345,218,110,265,81,100,27,35,38,60,42,30,16,18,18,15,33,18,7,5,14,21,27,29,35,41,37,26,29,21,13,70,14
UNDR03_1MCa-bin.47,9153,19785,11,2,3,0,4,3,9,670,4688,190003,277070,1977,4,3,16,3,10,11,17281,14316,38161,4385,2131,2462,772,952,102,146,133,194,128,149,15,10,9,6,19,2,15,17,8,11,9,22,27,27,26,18,14,11,14,24,14
UNDR03_1MCa-bin.50,6246,10896,9,6,9,1,5,4,12,1320,7239,445674,693520,3678,4,7,9,4,15,23,12584,11242,20332,8582,4217,2486,738,972,77,70,92,99,62,66,17,13,11,7,22,5,115,15,15,19,15,114,58,33,26,14,18,15,14,42,20
UNDR03_1MCa-bin.51,3186,7032,44,64,60,11,19,28,23,1035,6523,300159,487699,287,11,2,6,3,23,16,7891,6220,13114,86,100,1207,175,124,36,43,57,75,54,40,107,71,128,138,187,61,76,75,109,235,138,232,167,187,189,240,215,149,64,140,42
UNDR03_1MCa-bin.54,5140,6096,313,176,176,13,132,208,179,898,4546,242262,362361,3369,206,191,383,156,379,352,13281,6274,13430,8216,3957,2766,898,1346,202,214,248,310,193,212,19,15,7,13,17,10,10,33,16,27,14,27,41,38,19,20,24,19,11,69,166
UNDR03_1MCa-bin.56,29459,32156,11,0,0,0,0,0,0,157,897,137720,349294,294,1,2,2,0,5,4,45634,31230,63116,610,317,212,55,72,87,78,113,68,63,54,14,9,11,3,9,15,3,6,14,24,9,10,17,13,12,14,20,8,12,80,13
UNDR03_1MCa-bin.58,57091,60409,15989,10844,11767,4769,9723,10803,11059,9833,24757,279542,250469,8415,9367,10485,21785,8869,22125,18913,139681,54207,135133,22694,13447,43258,13699,16363,10770,12034,12473,14821,11401,10692,1497,922,1638,1807,2783,1072,857,1104,854,3823,1860,2542,2181,2605,2975,3409,2500,1213,366,1658,676
UNDR03_1MCa-bin.60,39575,23722,21841,13489,14579,1217,13024,14271,14650,4179,30051,343100,323663,9561,12078,13876,29591,12352,28639,27531,120855,21976,56653,24452,14418,35002,13210,19462,14358,14763,15226,18626,14682,13728,40,28,34,27,61,16,15,22,40,62,39,60,69,94,66,55,60,55,35,118,160
UNDR03_1MCa-bin.63,434,872,1,1,1,2,0,0,0,1095,4375,109433,195595,542,1,0,1,0,1,5,934,1663,1226,1413,630,592,206,251,7,6,8,9,12,16,5,1,1,4,7,4,5,8,2,7,12,9,10,8,7,9,16,3,2,42,11
UNDR03_1MCa-bin.64,37,39,12,10,6,2,4,8,2,63,331,17361,29754,84,6,7,33,4,16,9,248,55,106,175,124,194,61,79,6,7,7,9,2,9,15,5,10,11,6,11,14,12,10,6,14,25,17,35,13,12,10,16,4,21,12
UNDR03_1MCa-bin.67,1483,1829,2,4,7,0,5,11,1,117,443,53730,143174,50,0,0,7,0,9,17,7392,3303,3531,93,49,74,20,10,14,18,14,27,23,19,51,18,12,10,35,71,45,33,23,48,40,62,39,38,29,33,42,21,25,722,42
UNDR03_1MCa-bin.68,1809,3834,104,0,1,2,2,0,1,589,3022,70616,103547,19413,12043,19821,31059,7493,24351,160,4704,6060,4158,41077,24817,24486,14393,17939,3243,3557,4275,3304,3049,2603,2,2,1,1,1,3,0,3,2,5,5,1,4,2,2,5,3,3,1,2,0
UNDR03_1MCa-bin.70,68,130,19,27,26,14,29,31,29,3,30,20982,38926,6,5,3,19,3,18,8,162,251,83,17,8,29,3,0,8,17,12,34,20,17,26,8,13,12,20,23,17,28,19,21,29,11,14,11,24,28,20,10,2,17,11
UNDR03_1MCa-bin.71,68,110,1,3,3,4,1,2,0,7,17,8675,109500,113,1,0,2,0,5,6,203,371,153,286,168,8,1,2,5,2,2,5,1,0,6,4,4,3,8,7,3,2,9,6,3,3,3,4,4,8,8,5,1,9,5
UNDR03_1MCa-bin.72,324,244,2,4,6,0,1,4,2,22,108,47375,94398,213,2,3,6,0,7,9,772,390,417,531,256,25,14,6,5,3,5,5,16,5,10,5,5,5,14,6,3,2,8,5,8,12,9,10,10,6,12,9,6,16,6
UNDR03_1MCa-bin.73,508,254,1,0,1,1,3,0,3,1228,4265,1875,28015,19,4,17,33,0,23,115,901,558,257,44,21,427,219,126,4,5,6,20,17,11,1,0,1,2,6,3,2,2,0,2,2,7,7,3,4,4,3,5,3,9,4
UNDR03_1MCa-bin.74,19586,23799,4277,2658,3002,139,2475,2893,2881,703,7458,132800,191704,2346,2446,2726,5629,2538,5455,4950,46661,21316,49269,5962,3462,7155,2655,3658,2749,3077,3076,3819,2938,2948,57,26,31,21,47,18,10,18,29,40,36,45,51,60,36,27,52,29,21,165,49
UNDR03_1MCa-bin.75,1791,2342,3534,5639,5799,1808,1169,1800,1408,11,46,166674,263799,239,7,6,27,3,21,1,2433,6076,1837,550,185,24,6,5,1362,1212,2419,2075,1201,1013,2377,641,1630,1900,922,2388,2095,2784,783,821,3851,1598,1522,1098,694,4630,3269,323,510,1508,899
UNDR03_1MCa-bin.76,30782,12167,5,8,1,4,9,3,4,605,2623,54234,106728,799,2,1,3,0,11,7,30031,24844,12696,1995,966,909,291,402,91,96,118,797,923,945,13,9,13,7,25,14,7,13,14,15,10,22,20,16,21,21,27,13,10,84,11
UNDR03_1MCa-bin.77,24777,18076,12155,6915,7532,1583,6749,7447,7723,5207,16285,209696,229519,4832,6319,7317,15665,6713,14364,16439,74418,17247,38500,12999,8152,17430,7781,11809,8465,7529,7447,9414,7785,7613,34,26,38,27,49,18,23,80,29,33,29,53,79,90,43,54,55,52,20,148,123
UNDR03_2-bin.27,2999,9171,126,6,5,5,3,3,0,1196,4139,185247,261854,240831,2160,148,185,680,17732,101,7354,22141,10060,273904,109173,324366,92250,147859,3705,6257,4346,11024,4857,2692,5,13595,30756,30798,16812,35,8287,14708,13540,20881,27,10433,11184,12417,11851,6,0,5,10865,7796,5582
UNDR03_2-bin.28,416,770,15947,9030,10840,2888,8596,10609,9558,5,53,17,29,125228,25529,14188,2949,8385,2181,63066,1322,857,880,41732,26004,45817,31828,47074,9098,6368,12047,14875,8414,8394,4154,9282,9650,8281,10897,3139,11980,10657,5743,14606,6249,7992,8389,9907,13565,3816,3445,4812,3232,9279,4177
UNDR03_2-bin.3,7389,13039,1288,21224,15671,2451,2512,5799,3880,62,288,10337,13669,46511,132950,71,102,2299,15222,147,17678,10393,28587,5952,168578,169967,33748,21333,1502,3994,4444,10827,13237,7736,114331,302551,288965,415069,137355,90065,249161,165625,232461,182153,91950,463965,222615,296728,186594,248551,186033,35614,113987,256414,60006
UNDR03_2-bin.30,37358,4300,104,166,161,35,91,98,89,3963,12745,475,307,271177,1345619,730907,1136554,1094485,1516846,770722,85973,5406,4184,782957,9101,3203367,1354564,1011312,742,5380,4407,9870,7142,11439,4,5,76,113,104,0,4,48,60,102,89,39,46,133,139,33,24,79,97,59,104
UNDR03_2-bin.31,146,165,2077,1555,2163,581,1008,1309,1134,6,31,17,19,33045,216,490,206,44,26,55,344,233,215,28494,1322,3526,4510,2047,2449,2400,2179,2198,1925,1392,2337,333,657,157,116,2247,819,1354,256,154,3842,1180,1039,766,239,1385,1232,727,126,188,190
UNDR03_2-bin.33,5383,28254,29,1,5,1,7,4,2,83,301,537,13312,187794,417,302,399,222,618,837,8319,98031,15761,738470,257278,108771,27034,6660,2385,1540,2228,14889,9964,7305,15,4,10,7,4626,10,4,5,8,4032,16,10,11,22,1041,4,7,9,1459,625,109
UNDR03_2-bin.34,2093,204,18347,430,521,170,426,476,428,687,4061,230,273,4742445,2981654,4856669,7306824,1840571,5748440,48707,3448,837,183,9732444,5890185,5317099,3192248,4085838,452498,651112,803483,719184,670450,600872,81,57,61,65,96,56,85,95,100,73,79,63,60,76,77,103,100,43,31,47,17
UNDR03_2-bin.35,3629,296,9165,4050,4857,1381,3055,4187,3382,10,44,32,40,362601,413058,1845,2293,980,2990,3914,9589,429,299,630927,1163123,3448,7669,2913,3832,3769,5230,5344,3685,2497,3340,6581,4931,5367,6682,2539,9815,6185,4856,7466,2317,6844,4368,5512,6458,834,786,1900,1380,4231,1821
UNDR03_2-bin.36,195,593,256,228,272,74,155,222,156,0,7,9,22,96474,750,282379,334,651,75,380,624,583,634,1606552,573377,947,643,44739,114,125,139,234,106,86,108,128,110,97,98,110,152,61,45,139,128,121,72,92,112,207,151,63,47,75,47
UNDR03_2-bin.37,1231,702,4945,1885,2347,560,846,1005,976,154,939,801,705,166971,35622,2038,20581,7878,1352,10321,3568,1108,1239,716676,230521,11650,20029,7505,2353,1833,2724,1818,1521,2547,383,985,442,694,491,801,2510,3655,2164,617,2143,1350,2421,2402,672,1315,1241,990,260,738,486
UNDR03_2-bin.38,23910,15899,537,183,237,65,154,181,166,37000,137284,2134,3937,101990,68520,63161,115937,58427,150896,237141,37959,52460,9779,251965,106085,220413,78274,85687,4421,4070,6201,10645,9293,8357,96,131,202,162,778,86,207,376,123,777,228,137,181,127,273,136,131,132,217,294,69
UNDR03_2-bin.39,184,91,7,8,1,1,7,4,5,2140,7718,188,183,208378,6,7,584,333,898,106,351,319,73,368810,249999,251478,108075,188811,41,148,59,248,102,175,11,2,7,6,7,4,6,4,3,6,4,6,3,8,7,4,2,1,5,17,1
UNDR03_2-bin.41,26850,26188,171,28,35,10,5,4,6,7386,32537,999,1302,96386,31,1,8,10,11,12,35284,94188,12671,234514,84917,343691,112472,185639,1555,1556,1666,3442,3375,3490,8,7,5,2,5,16,2,7,10,6,15,6,4,5,5,26,47,5,3,9,5
UNDR03_2-bin.8,61874,10143,74005,2277,2227,811,1599,2183,2056,1038,5843,749,1202,13173701,19823366,23407630,30490499,17143833,12611763,2595091,95031,39235,4976,30373521,18039775,9800208,4803635,6803899,1676254,1660872,2457682,1583028,1683364,1139590,67,53,63,42,84,58,88,91,78,74,96,56,57,74,75,107,95,65,33,39,18
UNDR03_2-bin.9,488,650,30,48,32,5,19,27,13,14,51,381,410,45898,117118,682,72,765,164,21,1955,704,2050,81557,117048,590,253,106,23,39,48,58,34,33,81,102,117,109,119,51,80,58,83,167,99,186,140,152,141,165,142,81,59,109,36
UNDR03_22-bin.1,93,144,25405,24131,22501,4563,13640,15367,10653,5,23,18,6,14057,139757,169445,510,1164,202,11970,496,172,191,593354,3405,22733,7266,13247,5803,1700,3122,3022,2528,6597,431,875,1426,872,1120,301,1101,1499,665,1389,9241,1300,767,719,1387,6126,6324,1932,378,620,410
UNDR03_22-bin.16,3302,1357,17134,1325,1666,539,1355,1759,1394,5108,26304,808,1185,755032,2364953,145117,3613458,96725,168948,14031,5078,4839,711,1054114,528635,506519,295166,454865,325593,422051,285225,100969,115658,68410,220,110,151,97,172,133,146,231,127,164,136,147,122,162,171,188,171,39,92,63,46
UNDR03_22-bin.18,47,35,484,889,1223,187,412,767,721,12,61,12,30,193960,338018,502272,532858,128382,142686,182325,213,68,50,546976,557755,24485,10967,36855,2019,1143,2292,1945,1624,981,41,24,23,20,50,31,32,22,179,87,72,20,11,45,40,127,127,47,19,28,23
UNDR03_22-bin.19,3347,723,12891,5392,6063,1848,4244,5729,4647,2742,10249,408,298,26415,565308,20934,7220,438216,591987,567769,6694,1373,744,23065,12800,478715,203342,157820,7212,5065,7455,8611,6099,6460,1659,3962,4953,3356,5415,1336,5173,5050,2850,7108,4601,3899,3886,4342,6351,1564,1563,3082,1758,3451,1880
UNDR03_22-bin.2,92315,121404,560,163,180,284,58,60,71,8810,38742,549,678,3255,2171221,1839778,3599189,1471842,2515070,2976123,135670,157140,132275,76001,29718,2697088,1066344,1695739,27138,32070,39314,15677,13695,15479,28,11,7,11,16,11,7,11,7,16,28,12,17,21,8,131,124,61,14,260,11
UNDR03_22-bin.23,231,211,6,246,216,24,429,111,197,130,538,124,177,1408,64719,29011,50111,1939,3725,5099,524,292,306,4450,2657,8139,1376,919,42,78,69,87,66,68,52,68,116,65,71,26,61,76,37,103,53,27,16,7,61,24,14,28,5,95,8
UNDR03_22-bin.24,94780,13311,167,4,7,0,6,4,12,651,3624,127,168,7925,104763,16,14100,3,22,32,186608,21407,11685,7779,4083,32673,17860,37598,5683,5718,6403,14669,12218,12467,3,1,2,0,2,1,1,4,2,1,2,0,3,5,6,1,1,2,1,3,4
UNDR03_22-bin.27,2747,1925,2236,1432,1876,346,1125,1077,947,514,2538,3084,3580,261916,184365,20362,14775,13697,17975,8356,5979,2718,3195,692465,199121,9174,3125,7225,1708,1415,1933,1633,1047,1281,476,543,514,510,735,422,802,586,435,803,1147,602,520,623,593,718,684,569,205,537,298
UNDR03_22-bin.5,635,805,7952,6751,14585,2511,4397,3157,4501,85,399,79,78,312970,378172,364960,290080,198621,226479,579,2540,818,1323,626802,422988,841502,375073,385080,2155,736,2618,2855,2091,3381,9807,4993,5114,8790,32976,4737,4492,3397,5413,26136,7074,4329,2848,5673,8813,1189,1093,3319,2350,4588,1328
