,UNDR01_2HCb,UNDR01_2MCb,UNDR03_102,UNDR03_117,UNDR03_118,UNDR03_119,UNDR03_121,UNDR03_122,UNDR03_123,UNDR03_1HAb,UNDR03_1HBb,UNDR03_1MAa,UNDR03_1MCa,UNDR03_2,UNDR03_22,UNDR03_23,UNDR03_24,UNDR03_25,UNDR03_26,UNDR03_27,UNDR03_2HBb,UNDR03_2MAa,UNDR03_2MBb,UNDR03_3,UNDR03_4,UNDR03_5,UNDR03_6,UNDR03_7,UNDR03_74,UNDR03_75,UNDR03_76,UNDR03_78,UNDR03_79,UNDR03_80,merge_NG-28520_B06,merge_NG-28520_B11,merge_NG-28520_B16,merge_NG-28520_B22,merge_NG-28520_B28,merge_NG-28520_B34,merge_NG-28520_B39,merge_NG-28520_B44,merge_NG-28520_B50,merge_NG-28520_B56,merge_NG-28520_B62,merge_NG-28520_B67,merge_NG-28520_B72,merge_NG-28520_B78,merge_NG-28520_B84,merge_NG-28520_B85,merge_NG-28520_B88,merge_NG-28520_B91,merge_NG-28520_B94,merge_NG-28520_B95,merge_NG-28520_B96
merge_NG-28520_B67-bin.31,8797,1181,3601,2180,1533,485,1730,2028,1529,328,1674,535,487,87,417,5350,300,3021,4785,2499,23314,1145,2641,341,237,10195,3639,3529,6028,8200,6482,11255,14670,16776,21773,122528,116217,21070,2723,20223,108764,91323,23414,3553,29585,127022,108681,80059,8565,13046,14999,833,5545,2140,3481
merge_NG-28520_B67-bin.32,2561,2432,21897,3130,2875,633,1812,3831,3127,8,11,31,24,2,0,9,1,48,1,577,5188,2871,4358,20,1,53,58,16,21979,33552,22719,8928,11686,10329,1252,872,537,424,521,556,657,520,186,851,7497,13958,6518,14627,4943,12303,9658,1894,6970,11579,15925
merge_NG-28520_B67-bin.37,38,93,130016,77327,75506,19499,89050,110910,96859,2,14,54,69,487,4126,38,204,996,49,7152,149,102,74,513,1395,7002,11511,1345,53415,54400,50243,39292,33853,47492,18702,11011,32433,34552,12733,13769,14420,28574,15349,14750,25170,16047,16438,15552,15414,22117,20300,38049,15879,21894,9392
merge_NG-28520_B67-bin.39,1560,803,103692,71174,65315,19538,77123,93419,81533,93,508,1185,1448,36832,13825,35146,7001,91213,6840,131873,3414,1052,1194,55721,8188,580291,50146,893422,51405,67783,82624,120433,97749,57854,19950,16740,19485,18558,17952,19409,32180,48112,15679,19906,103715,31757,32287,29110,16821,36703,29966,207116,19001,28269,36393
merge_NG-28520_B67-bin.68,170,233,1168,973,1209,288,48369,42076,46459,9,59,244,51,260,904,374,326,1012,341,5582,705,305,269,916,576,3097,1080,1135,424,644,11299,170712,35874,127783,336,43840,34161,20621,12353,198,35920,15102,5911,23350,54489,67501,38647,46512,35154,461,356,16905,38911,11040,23990
merge_NG-28520_B72-bin.12,26,7,8427,856,1417,149,5185,5068,4572,3,28,1,1,279,259,213,206,62,157,16,133,12,11,373,243,338,198,10,5870,103,196,8355,2016,22233,52,16514,16925,3949,1800,35,12702,13800,2465,3558,21903,13914,14803,9668,4564,55,59,15543,12644,7293,6306
merge_NG-28520_B72-bin.28,168,92,21832,12792,13692,3462,8989,10455,9034,9,72,5,4,702,840,850,690,585,1909,1699,565,150,148,1636,1016,3088,1330,989,8476,5382,9189,10355,8312,13445,9616,7853,9096,7070,7984,8579,9519,9623,5693,10718,21268,14090,13956,10394,7839,17480,18071,11505,9856,9351,4151
merge_NG-28520_B72-bin.37,56,98,80303,1737,2351,596,46678,30850,33722,10,31,9,5,32,50,11,10,48,25,957,381,171,122,29,20,107713,271934,1256,22518,3812,48008,33416,61890,68885,743,10223,14543,83343,5503,452,12870,14603,23715,8477,58468,279339,91007,69934,19820,482,499,33979,43910,43826,72048
merge_NG-28520_B72-bin.64,1476,305,160376,87367,68708,18870,109915,133847,95031,48,276,84,76,31,107,1881,17,506,729,342,4598,307,667,88,55,2720,822,764,6074,11058,2647,18197,19862,21094,77501,32768,32027,8753,118954,60175,28081,24138,6865,187208,116730,96820,32454,20949,131389,99418,112336,20033,6526,62533,6304
merge_NG-28520_B72-bin.72,114,82,14033,1316,4832,511,9805,31203,20690,6,41,3,4,244,948,773,344,882,702,679,334,108,116,1249,664,1607,1098,864,3459,3283,2047,15585,2922,5415,1245,3194,4544,3344,3316,811,3148,29441,5802,4115,5835,3478,18273,15973,7689,1821,1653,4664,3594,5546,4181
